"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000020183","Cpm","0.2475126072","0.37177304641227094","0.89137372933013"
"ENSMUSG00000074892","B3galt5","1.0328083718","0.37178081475016","0.89137372933013"
"ENSMUSG00000104344","nan","0.234643823","0.371828187319281","0.89137372933013"
"ENSMUSG00000032705","Exd2","0.1241606509","0.371851983342401","0.89137372933013"
"ENSMUSG00000049685","Cyp2g1","0.5603063766","0.371883590439004","nan"
"ENSMUSG00000073176","Zfp449","0.3664103653","0.3719018774257321","0.89137372933013"
"ENSMUSG00000053164","Gpr21","1.01353114","0.371919938669526","0.89137372933013"
"ENSMUSG00000098154","Gm5787","-0.9488722343","0.37201678900412105","nan"
"ENSMUSG00000111709","Gm3776","1.1999632612","0.3720819309821021","nan"
"ENSMUSG00000111905","nan","0.6238512722","0.372098822936283","nan"
"ENSMUSG00000042712","Tceal9","-0.1853777997","0.3721144703833421","0.891392731672752"
"ENSMUSG00000030400","Ercc2","0.1065537874","0.372130573278101","0.891392731672752"
"ENSMUSG00000071652","Ints5","-0.082204503","0.37213402188905104","0.891392731672752"
"ENSMUSG00000061455","Stx17","0.1019259167","0.372165427405738","0.891392731672752"
"ENSMUSG00000068740","Celsr2","0.2880616281","0.372228041560421","0.891392731672752"
"ENSMUSG00000031162","Gata1","1.0779007354","0.372230826442257","0.891392731672752"
"ENSMUSG00000021287","Xrcc3","-0.2714416673","0.37228818504370204","0.891392731672752"
"ENSMUSG00002076197","nan","-1.160468416","0.37229599056546","nan"
"ENSMUSG00000066551","Hmgb1","-0.1186096651","0.372337922382117","0.891392731672752"
"ENSMUSG00000021256","Vash1","0.3025997093","0.372351933587029","0.891392731672752"
"ENSMUSG00000092622","Khdc3","-1.0904534901","0.372356478013301","nan"
"ENSMUSG00000027460","Angpt4","1.0473073205","0.372395348253888","0.891392731672752"
"ENSMUSG00000018442","Derl2","0.0825316578","0.37259945547361895","0.891567928057057"
"ENSMUSG00000085024","C230035I16Rik","-0.8336262574","0.372609568020901","nan"
"ENSMUSG00000043153","Crppa","-0.1911698877","0.372630674409814","0.891567928057057"
"ENSMUSG00000001763","Tspan33","0.2158441117","0.372634298555259","0.891567928057057"
"ENSMUSG00000097207","6030443J06Rik","-0.4235709965","0.372655568838617","0.891567928057057"
"ENSMUSG00000002250","Ppard|1810013A23Rik","0.1727574899","0.37271038170382703","0.891587198385217"
"ENSMUSG00000021260","Hhipl1","-0.3599659071","0.37279563931957604","0.89162918073148"
"ENSMUSG00000006464","Bbs1","-0.2487923042","0.37282145258926397","0.89162918073148"
"ENSMUSG00000099931","nan","0.8819852714","0.372874957643324","0.891645308796451"
"ENSMUSG00000032750","Gab3|Gm38425","0.4301027996","0.372995330541494","0.891801162940996"
"ENSMUSG00000046791","Riox1","-0.1251313968","0.373062821518841","0.891801162940996"
"ENSMUSG00000096699","Rps19-ps4","-1.1653478963","0.373062892707366","nan"
"ENSMUSG00000000959","Oxa1l","0.0810696173","0.3730804424575371","0.891801162940996"
"ENSMUSG00000089671","Gm16537","-0.8091399832","0.373092549953898","nan"
"ENSMUSG00000024905","Tesmin","-0.4493858147","0.373153467405468","nan"
"ENSMUSG00000059981","Taok2","-0.0729476927","0.373157186626662","0.891872804537127"
"ENSMUSG00000058070","Eml1","0.2426094525","0.373207326514669","0.8918769588278921"
"ENSMUSG00000022452","Smdt1","0.0806241946","0.373289677654716","0.8918769588278921"
"ENSMUSG00000033900","Map9","-0.355238795","0.3732992452488679","0.8918769588278921"
"ENSMUSG00000081402","Gm15455","1.4506663465","0.3733243321084711","nan"
"ENSMUSG00000110910","nan","-0.7295029296","0.37333935363742105","nan"
"ENSMUSG00000006288","Ttc5","-0.1367095475","0.37336573435836","0.8918992461500269"
"ENSMUSG00000029168","Dpysl5","0.852331543","0.373402123034176","0.8918992461500269"
"ENSMUSG00000053173","Rpl18-ps2","-0.7057145815","0.373467966303914","nan"
"ENSMUSG00000083240","nan","-0.7206781381","0.373763494785865","0.8922337828434879"
"ENSMUSG00000025736","Jmjd8","0.0815697807","0.3738343067267121","0.8922337828434879"
"ENSMUSG00000080994","Gm13464","0.6837927311","0.3739005877663629","nan"
"ENSMUSG00000020128","Vps54","-0.075215504","0.373916927897927","0.8922337828434879"
"ENSMUSG00000026581","Sell","0.464646764","0.3739573991795849","0.8922337828434879"
"ENSMUSG00000022454","Nell2","1.1093169118","0.3739584477302171","0.8922337828434879"
"ENSMUSG00000021963","Sap18","0.2617686299","0.373986167808145","0.8922337828434879"
"ENSMUSG00000090641","Zfp712","0.2446039798","0.374008041101028","0.8922337828434879"
"ENSMUSG00000033096","Apmap","-0.1914194238","0.374041152148914","0.8922337828434879"
"ENSMUSG00000091191","nan","0.8990434917","0.374043809170836","nan"
"ENSMUSG00000028676","Srsf10","-0.097784024","0.374070237851636","0.8922337828434879"
"ENSMUSG00000068798","Rap1a","0.092522159","0.374101818224525","0.8922337828434879"
"ENSMUSG00000022768","Ccdc116","-0.9160870036","0.374123629613989","0.8922337828434879"
"ENSMUSG00000058546","Rpl23a|Gm46442","-0.1053581517","0.3741484026281121","0.8922337828434879"
"ENSMUSG00000056328","Myh1","0.880118811","0.374180752808901","0.8922337828434879"
"ENSMUSG00000021785","Ngly1","-0.1010938914","0.374224288296215","0.8922337828434879"
"ENSMUSG00000121050","nan","-0.2234847518","0.37424406309955","0.8922337828434879"
"ENSMUSG00000038102","Trappc11","0.0507444497","0.374432755466971","0.8925720441610451"
"ENSMUSG00000000532","Acvr1b","0.1511537567","0.374567826736292","0.892740890735018"
"ENSMUSG00000037979","Ccdc92","-0.3483960214","0.374664118054719","0.892740890735018"
"ENSMUSG00000087648","E130018N17Rik","-0.9466943207","0.3746790438230671","nan"
"ENSMUSG00000080790","nan","1.4990210436","0.37474767164795","nan"
"ENSMUSG00000028405","Aco1","0.1084619213","0.374760637487572","0.892740890735018"
"ENSMUSG00000111605","nan","-0.5720272928","0.374783811441284","0.892740890735018"
"ENSMUSG00000021357","Exoc2","0.0907537173","0.37490543110287705","0.892740890735018"
"ENSMUSG00000050490","Psma5-ps","0.9280217611","0.374950853519908","nan"
"ENSMUSG00000032456","Nmnat3","0.2299869291","0.3749587773557061","0.892740890735018"
"ENSMUSG00000115756","nan","-0.3671415609","0.3749903535086721","0.892740890735018"
"ENSMUSG00000052707","Tnrc6a","0.1004900014","0.37502245486976704","0.892740890735018"
"ENSMUSG00002075003","nan","1.500543358","0.37505639509525895","nan"
